Casename,LAcavity_ASD,LAcavity_Dice,LAcavity_HD,LAscar_Dice
train_55,1.442772766958377,0.9136356068594261,42.765713486390005,0.18756073858114675
train_58,3.444572211621338,0.7339024321072185,22.5,0.3321691889794334
train_57,1.6979725443684264,0.899896012820062,40.17539669997049,0.04654088050314465
train_51,1.2231253445920793,0.908827760808423,36.58252656665474,0.26975696121036535
train_59,1.7420894060148182,0.926210426111462,27.336159660786297,0.09779050736497545
train_49,1.8845797185184017,0.8729225544906006,37.16517186829626,0.12376418894177957
train_54,1.3238361480717395,0.8990981406996134,41.65051770386534,0.2628308400460299
train_52,0.9183115745011203,0.9406017429904003,35.37742924521226,0.22198001816530427
train_56,1.2313115234513798,0.9151168703101648,33.21920566479578,0.4719704598858677
train_53,0.9724960512224081,0.9198375776481028,40.48533685175412,0.3083686095734289
train_60,2.209971506821788,0.8759210066940907,54.32109396910191,0.2759020431821475
train_50,4.911734333646945,0.7490232072179273,41.47665005759264,0.2892147017473388
